flat,peak,ridge,shoulder,spur,slope,pit,valley,footslope,hollow,realness
0.41115570068359375,0.01763153076171875,0.09093475341796875,0.3567848205566406,1.1444091796875e-05,0.003276824951171875,0.014255523681640625,0.0924835205078125,0.013446807861328125,1.9073486328125e-05,1.0
0.02593994140625,0.043834686279296875,0.17494964599609375,0.5180015563964844,3.814697265625e-06,0.00214385986328125,0.0400543212890625,0.18102264404296875,0.01404571533203125,3.814697265625e-06,1.0
0.047435760498046875,0.0399627685546875,0.16424179077148438,0.5025978088378906,3.814697265625e-05,0.009368896484375,0.026248931884765625,0.17813491821289062,0.031932830810546875,3.814697265625e-05,1.0
0.7676506042480469,0.00913238525390625,0.035686492919921875,0.12461471557617188,1.9073486328125e-05,0.006748199462890625,0.007595062255859375,0.033924102783203125,0.01462554931640625,3.814697265625e-06,1.0
0.00389862060546875,0.0435028076171875,0.17480850219726562,0.5328292846679688,0.000827789306640625,0.001850128173828125,0.03781890869140625,0.182098388671875,0.02185821533203125,0.000507354736328125,1.0
0.519989013671875,0.022441864013671875,0.08837509155273438,0.23450469970703125,0.000484466552734375,0.00909423828125,0.018894195556640625,0.0872955322265625,0.01863861083984375,0.00028228759765625,1.0
0.4088630676269531,0.02272796630859375,0.09521865844726562,0.32971954345703125,0.001102447509765625,0.012950897216796875,0.014873504638671875,0.09553909301757812,0.0185546875,0.00045013427734375,1.0
0.0,0.04697418212890625,0.20851898193359375,0.4764289855957031,0.001003265380859375,3.814697265625e-06,0.033496856689453125,0.22771453857421875,0.005268096923828125,0.000591278076171875,1.0
0.8539390563964844,0.0047454833984375,0.022632598876953125,0.078582763671875,6.103515625e-05,0.009922027587890625,0.003032684326171875,0.0191497802734375,0.007907867431640625,2.6702880859375e-05,1.0
0.14797592163085938,0.045101165771484375,0.1656494140625,0.4125251770019531,0.0012359619140625,0.004436492919921875,0.039886474609375,0.17107009887695312,0.011165618896484375,0.00095367431640625,1.0
